400,0.402455
401,0.396444
402,0.390449
403,0.384471
404,0.378510
405,0.372567
406,0.366644
407,0.360740
408,0.354858
409,0.348997
410,0.343159
411,0.337345
412,0.331555
413,0.325791
414,0.320052
415,0.314341
416,0.308658
417,0.303004
418,0.297379
419,0.291785
420,0.286222
421,0.280692
422,0.275194
423,0.269731
424,0.264302
425,0.258908
426,0.253551
427,0.248231
428,0.242949
429,0.237705
430,0.232501
431,0.227338
432,0.222215
433,0.217134
434,0.212096
435,0.207101
436,0.202150
437,0.197244
438,0.192384
439,0.187570
440,0.182803
441,0.178084
442,0.173414
443,0.168792
444,0.164221
445,0.159700
446,0.155230
447,0.150812
448,0.146447
449,0.142135
450,0.137876
451,0.133673
452,0.129524
453,0.125432
454,0.121396
455,0.117416
456,0.113495
457,0.109631
458,0.105827
459,0.102082
460,0.098396
461,0.094771
462,0.091208
463,0.087705
464,0.084265
465,0.080888
466,0.077573
467,0.074322
468,0.071136
469,0.068014
470,0.064957
471,0.061965
472,0.059039
473,0.056180
474,0.053388
475,0.050663
476,0.048005
477,0.045416
478,0.042895
479,0.040443
480,0.038060
481,0.035747
482,0.033504
483,0.031330
484,0.029228
485,0.027196
486,0.025236
487,0.023347
488,0.021530
489,0.019785
490,0.018112
491,0.016512
492,0.014984
493,0.013530
494,0.012149
495,0.010841
496,0.009607
497,0.008447
498,0.007361
499,0.006349
500,0.005412
501,0.004549
502,0.003760
503,0.003047
504,0.002408
505,0.001844
506,0.001355
507,0.000941
508,0.000602
509,0.000339
510,0.000151
511,0.000038
512,0.000000
